,city,place,rating,type,user_id
0,Mysore,Mysore Palace,4.4,Palace,11
1,Mysore,Somanathapura Temple,3.5,Temple,33
2,Mysore,Brindavan Gardens,4.2,Gardens,34
3,Mysore,Mysore Zoo,4.3,National Park,23
4,Mysore,Chamundeshwari Temple,4.2,Temple,27
5,Mysore,GRS Fantasy Park,4.2,National Park,22
6,Mysore,St Philomena s Church,4.3,Church,8
7,Mysore,City Shopping,3.4,Mall,12
8,Mysore,Jaganmohan Palace,4.2,Palace,21
9,Mysore,Talakadu,4.2,Palace,29
10,Mysore,Karanji Lake,3.8,Lake,3
11,Mysore,Folklore Museum,3.2,Museum,23
12,Mysore,Rail Museum Mysore,3.7,Museum,32
13,Mysore,Trinesvaraswamy Temple,3.2,Temple,20
14,Mysore,Nanjangud,3.7,Temple,5
15,Mysore,Melukote Temples,3.2,Temple,21
16,Mysore,Bonsai Garden,3.1,Park,1
17,Mysore,Srikanteswara Temple,3.2,Temple,26
18,Mysore,Lalitha Mahal Palace,3.1,Temple,17
19,Mysore,Shuka Vana,3,Park,2
20,Mysore,Ashtanga Yoga Institute,3,Temple,27
21,Mysore,Mysore Mandala Yoga Shala,3.1,Fort,3
22,Mysore,Chunchanakatte Falls,2.8,Hill,32
23,Mysore,Balmuri Waterfalls,2.3,Hill,9
24,Mysore,Dr Ambedkar s Park,2,Park,25
25,Mysore,Lingambudhi Park,3.4,Park,22
26,Mysore,Javaregowda Park,1,Park,9
27,Mysore,Sanjeevini Park,2.5,Park,25
28,Mysore,Cheluvamba Park,2.6,Park,24
29,Mysore,Freedom Fighter s Park,2.8,Park,10
30,Mysore,Mysore Dasara,3,Temple,1
31,Davanagere,Kunduvada Kere,3.4,Fort,4
32,Davanagere,Bagali,3.4,Fort,33
33,Davanagere,Sri Anjaneya Swamy Temple,3.4,Hill,15
34,Davanagere,Karanji Mantapa,3.1,Temple,13
35,Davanagere,Bathi Gudda,3.1,Fort,7
36,Davanagere,Sulekere,3.1,Fort,14
37,Davanagere,Anekonda,3.1,Hill,12
38,Davanagere,Eshwara Temple,3.1,Temple,24
39,Davanagere,Betur,3.1,Fort,26
40,Davanagere,Comprehensive Water Supply Tank,3.1,Fort,21
41,Davanagere,Shopping in Davanagere,3,Hill,34
42,Davanagere,The Loot,3.1,Historic Place,21
43,Davanagere,B S Channa Basappa and Sons,3.1,Historic Place,16
44,Bellary,The Rocks Mountain,4.4,Park,14
45,Bellary,Bellary Fort Fort,4.4,Fort,4
46,Bellary,Bellary Zoo Zoo,4.4,Zoo,9
47,Bellary,Kumbara Gudda Hill,4.4,Hill,13
48,Bellary,Upper Fort Fort,4.4,Fort,3
49,Bellary,Lower Fort Fort,4.4,Fort,9
50,Bellary,Other Hills Hill,4.4,Hill,30
51,Bellary,British Colonial Buildings Historic Place,4.4,Historic Place,20
52,Bellary,Turkish Martyrs Graveyard Historic Place,4.4,Historic Place,32
53,Bellary,Kuntegadda Park And Kaategudda Park Park,4.4,Park,2
54,Bellary,Mailarlinga Temple Temple,4.4,Temple,25
55,Bidar,Gurudwara Nanak Jhira Sahib Place of Worship,4.5,Place of Worship,25
56,Bidar,Bidar Fort Fort,4.5,Fort,33
57,Bidar,Rangin Mahal Monument,4.5,Monument,8
58,Bidar,Papnash Shiva Temple Place of Worship,4.5,Place of Worship,31
59,Bidar,Chaubara Monument,4.5,Monument,4
60,Bidar,Chaukhandi Of Hazrat Khalil Ullah Monument,4.5,Monument,12
61,Bidar,Mohamad Gawan Madarsa Religious Place,4.5,Religious Place,28
62,Bidar,Bahmani Tombs Monument,4.5,Monument,16
63,Bidar,Narasimha Jhira Cave Temple Place of Worship,4.5,Place of Worship,9
64,Bidar,Solah Khamba Mosque Place of Worship,4.5,Place of Worship,9
65,Bijapur,Gol Gumbaz Historic Place,4.5,Historic Place,34
66,Bijapur,Malik-e-Maidan Monument,4.5,Monument,27
67,Bijapur,Ibrahim Rauza Monument,4.5,Monument,34
68,Bijapur,Almatti Dam Dam,4.5,Dam,32
69,Bijapur,Bara Kaman Historic Place,4.5,Historic Place,10
70,Bijapur,Jumma Masjid Mosque,4.5,Mosque,32
71,Bijapur,Jod Gumbaz Monument,4.5,Monument,15
72,Bijapur,Kudalasangama Place of Worship,4.5,Place of Worship,35
73,Bijapur,Bara Dari (Cook Palace) Heritage Site,4.5,Heritage Site,5
74,Bijapur,Bijpaur Fort Fort,4.5,Fort,2
75,Bijapur,Shivgiri Temple Temple,4.5,Temple,22
76,Bijapur,Archaeological Museum Bijapur Museum,4.5,Museum,24
77,Bijapur,Shri Shiddeshwar Temple Place of Worship,4.5,Place of Worship,12
78,Bijapur,Upli Burj Monument,4.5,Monument,5
79,Bijapur,Uppali Buruz Monument,4.5,Monument,33
80,Bijapur,Jama Masjid Place of Worship,4.5,Place of Worship,4
81,Bijapur,Taj Bawdi Offbeat Attraction,4.5,Offbeat Attraction,27
82,Bijapur,Bijapur Castle Fort,4.5,Fort,26
83,Bijapur,Sat Manzil Monument,4.5,Monument,5
84,Bijapur,Lotus Lake Lake,4.5,Lake,1
85,Bijapur,Jala Manzil Palace,2.9,Palace,32
86,Bijapur,Gagan Mahal Palace,2.8,Palace,20
87,Bijapur,Pangarh Fort Fort,2.6,Fort,10
88,Bijapur,Asar Mahal Monument,2.7,Monument,25
89,Bijapur,The Citadel Monument,2.5,Monument,34
